iter	Passed	Remaining
0	0	855
1	1	822
2	2	828
3	3	818
4	4	804
5	4	794
6	5	782
7	6	801
8	7	801
9	8	805
10	8	805
11	9	799
12	10	802
13	11	801
14	12	793
15	12	788
16	13	781
17	14	791
18	15	797
19	16	801
20	17	815
21	18	816
22	19	814
23	19	811
24	20	813
25	21	816
26	22	817
27	23	816
28	24	811
29	25	809
30	25	805
31	26	807
32	27	809
33	28	812
34	29	812
35	30	809
36	31	807
37	31	804
38	32	808
39	33	808
40	34	810
41	35	808
42	36	806
43	36	803
44	37	802
45	38	801
46	39	803
47	40	803
48	41	800
49	42	799
50	42	797
51	43	795
52	44	794
53	45	793
54	46	794
55	47	793
56	47	791
57	48	789
58	49	788
59	50	785
60	51	786
61	51	786
62	52	782
63	53	780
64	54	778
65	54	776
66	55	774
67	56	767
68	56	768
69	57	768
70	58	767
71	59	765
72	60	763
73	60	761
74	61	759
75	62	758
76	63	756
77	63	755
78	64	754
79	65	752
80	66	750
81	66	748
82	67	746
83	68	745
84	68	742
85	69	742
86	70	739
87	71	738
88	72	737
89	72	736
90	73	734
91	74	733
92	75	734
93	76	736
94	77	737
95	78	737
96	79	738
97	80	740
98	81	742
99	82	743
100	83	743
101	83	739
102	84	739
103	85	738
104	86	737
105	87	736
106	88	736
107	89	735
108	89	734
109	90	732
110	91	730
111	91	729
112	92	727
113	93	726
114	94	726
115	95	725
116	95	723
117	96	722
118	97	719
119	98	718
120	98	717
121	99	716
122	99	712
123	100	712
124	101	711
125	102	709
126	103	710
127	103	708
128	104	708
129	106	709
130	106	709
131	107	707
132	108	706
133	109	705
134	109	703
135	110	702
136	111	701
137	111	699
138	112	698
139	113	697
140	114	695
141	114	694
142	115	693
143	116	691
144	117	691
145	118	691
146	119	690
147	119	690
148	120	689
149	121	688
150	122	687
151	122	685
152	123	684
153	124	683
154	125	682
155	126	681
156	126	680
157	127	679
158	128	678
159	129	677
160	129	676
161	130	675
162	131	675
163	132	675
164	133	674
165	133	673
166	134	672
167	135	670
168	136	669
169	136	668
170	137	667
171	138	666
172	139	665
173	140	664
174	140	663
175	141	662
176	142	661
177	143	660
178	143	659
179	144	658
180	145	656
181	145	655
182	146	654
183	147	653
184	148	652
185	148	651
186	149	650
187	150	649
188	151	649
189	152	648
190	152	646
191	153	645
192	154	644
193	154	643
194	155	643
195	156	643
196	157	642
197	158	641
198	159	641
199	160	640
200	160	639
201	161	639
202	162	638
203	163	638
204	164	637
205	165	636
206	165	634
207	166	633
208	167	632
209	168	632
210	168	631
211	169	630
212	170	630
213	171	629
214	172	628
215	172	626
216	173	626
217	174	626
218	175	625
219	176	624
220	176	623
221	177	622
222	178	621
223	179	620
224	179	619
225	180	618
226	181	617
227	182	616
228	182	615
229	183	614
230	184	613
231	185	612
232	185	611
233	186	611
234	187	610
235	188	609
236	189	608
237	189	608
238	190	607
239	191	606
240	192	606
241	193	605
242	194	604
243	194	604
244	195	603
245	196	602
246	197	601
247	197	600
248	198	599
249	199	598
250	200	598
251	201	597
252	202	597
253	203	596
254	204	597
255	205	597
256	206	596
257	207	595
258	207	594
259	208	593
260	209	592
261	210	592
262	211	591
263	211	591
264	212	590
265	213	590
266	214	589
267	215	589
268	216	589
269	217	588
270	218	587
271	219	587
272	220	586
273	221	585
274	221	584
275	222	584
276	223	583
277	224	583
278	225	582
279	226	582
280	227	581
281	227	580
282	228	579
283	229	579
284	230	578
285	231	577
286	232	577
287	233	576
288	233	575
289	234	574
290	235	574
291	236	573
292	237	572
293	238	571
294	239	571
295	239	570
296	240	569
297	241	568
298	242	567
299	242	566
300	243	566
301	244	566
302	246	565
303	246	565
304	247	564
305	248	563
306	249	562
307	250	562
308	251	562
309	252	561
310	253	560
311	254	560
312	254	559
313	255	558
314	256	558
315	257	557
316	258	556
317	259	555
318	260	555
319	260	554
320	261	553
321	262	552
322	263	552
323	264	551
324	264	550
325	265	549
326	266	548
327	267	547
328	268	547
329	269	546
330	269	545
331	270	544
332	271	544
333	272	543
334	273	542
335	274	541
336	275	541
337	275	540
338	276	539
339	277	538
340	278	538
341	279	537
342	279	536
343	280	535
344	281	535
345	282	534
346	283	533
347	284	532
348	285	532
349	286	531
350	287	530
351	288	530
352	288	529
353	289	528
354	290	527
355	291	526
356	291	525
357	292	525
358	293	524
359	294	523
360	295	522
361	296	522
362	296	521
363	297	520
364	298	519
365	299	519
366	300	518
367	301	518
368	302	517
369	303	517
370	304	516
371	305	515
372	306	514
373	307	514
374	307	513
375	308	512
376	309	511
377	310	511
378	311	510
379	312	509
380	312	508
381	314	508
382	315	507
383	315	506
384	316	506
385	317	505
386	318	504
387	319	503
388	320	503
389	321	502
390	321	501
391	322	500
392	323	499
393	324	499
394	325	498
395	326	497
396	327	496
397	327	495
398	328	495
399	329	494
400	330	493
401	331	493
402	332	492
403	333	491
404	334	490
405	334	490
406	335	489
407	336	488
408	337	487
409	338	486
410	339	486
411	339	485
412	340	484
413	341	483
414	342	482
415	343	482
416	344	481
417	345	481
418	346	480
419	347	479
420	348	479
421	349	478
422	350	477
423	350	476
424	351	475
425	352	474
426	353	474
427	354	473
428	355	472
429	356	471
430	356	471
431	357	470
432	358	469
433	359	468
434	360	467
435	360	466
436	361	465
437	362	464
438	363	464
439	364	463
440	364	462
441	365	461
442	366	460
443	367	460
444	368	459
445	368	458
446	370	457
447	370	456
448	371	456
449	372	455
450	373	454
451	373	453
452	374	452
453	375	451
454	376	450
455	377	449
456	377	448
457	378	448
458	379	447
459	380	446
460	380	445
461	381	444
462	382	443
463	383	442
464	384	442
465	385	441
466	385	440
467	386	439
468	387	438
469	388	437
470	388	436
471	389	435
472	390	435
473	391	434
474	392	433
475	392	432
476	393	431
477	394	430
478	394	429
479	395	428
480	396	427
481	397	426
482	397	425
483	398	425
484	399	424
485	400	423
486	401	423
487	402	422
488	403	421
489	404	420
490	405	419
491	405	419
492	406	418
493	407	417
494	408	416
495	408	415
496	409	414
497	410	413
498	411	412
499	412	412
500	413	411
501	414	410
502	415	410
503	416	409
504	416	408
505	417	407
506	418	407
507	419	406
508	420	405
509	421	404
510	421	403
